source_file,output_file,part,total_parts,word_count,first_label,last_label,mode
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/bashar_channeled_by_darryl_anka_complete_transcripts_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/bashar_channeled_by_darryl_anka_complete_transcripts_review/bashar_channeled_by_darryl_anka_complete_transcripts_review_part_007_of_010.md,7,10,444370,Report 2100,Report 2472,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/bashar_channeled_by_darryl_anka_complete_transcripts_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/bashar_channeled_by_darryl_anka_complete_transcripts_review/bashar_channeled_by_darryl_anka_complete_transcripts_review_part_008_of_010.md,8,10,445049,Report 2473,Report 2840,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/bashar_channeled_by_darryl_anka_complete_transcripts_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/bashar_channeled_by_darryl_anka_complete_transcripts_review/bashar_channeled_by_darryl_anka_complete_transcripts_review_part_009_of_010.md,9,10,444707,Report 2841,Report 3213,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/bashar_channeled_by_darryl_anka_complete_transcripts_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/bashar_channeled_by_darryl_anka_complete_transcripts_review/bashar_channeled_by_darryl_anka_complete_transcripts_review_part_010_of_010.md,10,10,332715,Report 3214,Report 3428,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/cannon_1992_conversations_with_nostradamus__his_prophecies_explaned_vol_3_559pgs_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/cannon_1992_conversations_with_nostradamus__his_prophecies_explaned_vol_3_559pgs_review/cannon_1992_conversations_with_nostradamus__his_prophecies_explaned_vol_3_559pgs_review_part_001_of_001.md,1,1,77884,Report 1,Report 55,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/carlos_castaneda_all_books_in_one_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/carlos_castaneda_all_books_in_one_review/carlos_castaneda_all_books_in_one_review_part_001_of_005.md,1,5,444912,Report 1,Report 336,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/carlos_castaneda_all_books_in_one_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/carlos_castaneda_all_books_in_one_review/carlos_castaneda_all_books_in_one_review_part_002_of_005.md,2,5,444681,Report 337,Report 667,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/carlos_castaneda_all_books_in_one_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/carlos_castaneda_all_books_in_one_review/carlos_castaneda_all_books_in_one_review_part_003_of_005.md,3,5,444227,Report 668,Report 1001,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/carlos_castaneda_all_books_in_one_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/carlos_castaneda_all_books_in_one_review/carlos_castaneda_all_books_in_one_review_part_004_of_005.md,4,5,444271,Report 1002,Report 1352,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/carlos_castaneda_all_books_in_one_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/carlos_castaneda_all_books_in_one_review/carlos_castaneda_all_books_in_one_review_part_005_of_005.md,5,5,305413,Report 1353,Report 1574,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/csb_pew_bible_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/csb_pew_bible_review/csb_pew_bible_review_part_001_of_005.md,1,5,444942,Report 1,Report 314,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/csb_pew_bible_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/csb_pew_bible_review/csb_pew_bible_review_part_002_of_005.md,2,5,444737,Report 315,Report 618,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/csb_pew_bible_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/csb_pew_bible_review/csb_pew_bible_review_part_003_of_005.md,3,5,444914,Report 619,Report 931,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/csb_pew_bible_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/csb_pew_bible_review/csb_pew_bible_review_part_004_of_005.md,4,5,445093,Report 932,Report 1246,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/csb_pew_bible_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/csb_pew_bible_review/csb_pew_bible_review_part_005_of_005.md,5,5,370261,Report 1247,Report 1542,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/dolores_cannon_conversations_with_nostradamus_v1_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/dolores_cannon_conversations_with_nostradamus_v1_review/dolores_cannon_conversations_with_nostradamus_v1_review_part_001_of_002.md,1,2,444744,Report 1,Report 336,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/dolores_cannon_conversations_with_nostradamus_v1_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/dolores_cannon_conversations_with_nostradamus_v1_review/dolores_cannon_conversations_with_nostradamus_v1_review_part_002_of_002.md,2,2,160622,Report 337,Report 459,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/dolores_cannon_conversations_with_nostradamus_v2_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/dolores_cannon_conversations_with_nostradamus_v2_review/dolores_cannon_conversations_with_nostradamus_v2_review_part_001_of_002.md,1,2,444532,Report 1,Report 351,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/dolores_cannon_conversations_with_nostradamus_v2_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/dolores_cannon_conversations_with_nostradamus_v2_review/dolores_cannon_conversations_with_nostradamus_v2_review_part_002_of_002.md,2,2,101646,Report 352,Report 439,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/dolores_cannon_convoluted_universe_3_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/dolores_cannon_convoluted_universe_3_review/dolores_cannon_convoluted_universe_3_review_part_001_of_003.md,1,3,445042,Report 1,Report 329,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/dolores_cannon_convoluted_universe_3_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/dolores_cannon_convoluted_universe_3_review/dolores_cannon_convoluted_universe_3_review_part_002_of_003.md,2,3,445485,Report 330,Report 690,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/dolores_cannon_convoluted_universe_3_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/dolores_cannon_convoluted_universe_3_review/dolores_cannon_convoluted_universe_3_review_part_003_of_003.md,3,3,154293,Report 691,Report 800,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/dolores_cannon_convoluted_universe_5_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/dolores_cannon_convoluted_universe_5_review/dolores_cannon_convoluted_universe_5_review_part_001_of_002.md,1,2,444768,Report 1,Report 320,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/dolores_cannon_convoluted_universe_5_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/dolores_cannon_convoluted_universe_5_review/dolores_cannon_convoluted_universe_5_review_part_002_of_002.md,2,2,192352,Report 321,Report 464,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/dolores_cannon_the_custodians_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/dolores_cannon_the_custodians_review/dolores_cannon_the_custodians_review_part_001_of_002.md,1,2,444607,Report 1,Report 331,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/dolores_cannon_the_custodians_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/dolores_cannon_the_custodians_review/dolores_cannon_the_custodians_review_part_002_of_002.md,2,2,347032,Report 332,Report 636,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/dolores_cannon_three_waves_of_volunteers_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/dolores_cannon_three_waves_of_volunteers_review/dolores_cannon_three_waves_of_volunteers_review_part_001_of_003.md,1,3,444592,Report 1,Report 312,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/dolores_cannon_three_waves_of_volunteers_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/dolores_cannon_three_waves_of_volunteers_review/dolores_cannon_three_waves_of_volunteers_review_part_002_of_003.md,2,3,444823,Report 313,Report 677,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/dolores_cannon_three_waves_of_volunteers_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/dolores_cannon_three_waves_of_volunteers_review/dolores_cannon_three_waves_of_volunteers_review_part_003_of_003.md,3,3,72569,Report 678,Report 735,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/egyption_book_of_the_dead_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/egyption_book_of_the_dead_review/egyption_book_of_the_dead_review_part_001_of_002.md,1,2,445658,Report 1,Report 317,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/egyption_book_of_the_dead_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/egyption_book_of_the_dead_review/egyption_book_of_the_dead_review_part_002_of_002.md,2,2,271484,Report 318,Report 516,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/encyclopedia_of_celtic_mythology_and_folklore_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/encyclopedia_of_celtic_mythology_and_folklore_review/encyclopedia_of_celtic_mythology_and_folklore_review_part_001_of_004.md,1,4,445327,Report 1,Report 310,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/encyclopedia_of_celtic_mythology_and_folklore_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/encyclopedia_of_celtic_mythology_and_folklore_review/encyclopedia_of_celtic_mythology_and_folklore_review_part_002_of_004.md,2,4,445374,Report 311,Report 623,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/encyclopedia_of_celtic_mythology_and_folklore_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/encyclopedia_of_celtic_mythology_and_folklore_review/encyclopedia_of_celtic_mythology_and_folklore_review_part_003_of_004.md,3,4,444979,Report 624,Report 941,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/encyclopedia_of_celtic_mythology_and_folklore_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/encyclopedia_of_celtic_mythology_and_folklore_review/encyclopedia_of_celtic_mythology_and_folklore_review_part_004_of_004.md,4,4,101403,Report 942,Report 1023,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/ethiopian_bible_apocrypha_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/ethiopian_bible_apocrypha_review/ethiopian_bible_apocrypha_review_part_001_of_002.md,1,2,445557,Report 1,Report 329,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/ethiopian_bible_apocrypha_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/ethiopian_bible_apocrypha_review/ethiopian_bible_apocrypha_review_part_002_of_002.md,2,2,288892,Report 330,Report 551,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/gazzaniga_the_cognitive_neurosciences_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/gazzaniga_the_cognitive_neurosciences_review/gazzaniga_the_cognitive_neurosciences_review_part_001_of_002.md,1,2,445056,Report 1,Report 372,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/gazzaniga_the_cognitive_neurosciences_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/gazzaniga_the_cognitive_neurosciences_review/gazzaniga_the_cognitive_neurosciences_review_part_002_of_002.md,2,2,380780,Report 373,Report 668,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/goblet_of_the_truth_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/goblet_of_the_truth_review/goblet_of_the_truth_review_part_001_of_003.md,1,3,445309,Report 1,Report 313,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/goblet_of_the_truth_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/goblet_of_the_truth_review/goblet_of_the_truth_review_part_002_of_003.md,2,3,444845,Report 314,Report 631,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/goblet_of_the_truth_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/goblet_of_the_truth_review/goblet_of_the_truth_review_part_003_of_003.md,3,3,14229,Report 632,Report 643,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/in_search_of_the_miraculous_ocr_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/in_search_of_the_miraculous_ocr_review/in_search_of_the_miraculous_ocr_review_part_001_of_002.md,1,2,444986,Report 1,Report 345,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/in_search_of_the_miraculous_ocr_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/in_search_of_the_miraculous_ocr_review/in_search_of_the_miraculous_ocr_review_part_002_of_002.md,2,2,233886,Report 346,Report 528,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/john_ballou_newbrough_oahspe_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/john_ballou_newbrough_oahspe_review/john_ballou_newbrough_oahspe_review_part_001_of_005.md,1,5,444543,Report 1,Report 313,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/john_ballou_newbrough_oahspe_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/john_ballou_newbrough_oahspe_review/john_ballou_newbrough_oahspe_review_part_002_of_005.md,2,5,445491,Report 314,Report 633,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/john_ballou_newbrough_oahspe_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/john_ballou_newbrough_oahspe_review/john_ballou_newbrough_oahspe_review_part_003_of_005.md,3,5,445657,Report 634,Report 964,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/john_ballou_newbrough_oahspe_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/john_ballou_newbrough_oahspe_review/john_ballou_newbrough_oahspe_review_part_004_of_005.md,4,5,444292,Report 965,Report 1316,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/john_ballou_newbrough_oahspe_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/john_ballou_newbrough_oahspe_review/john_ballou_newbrough_oahspe_review_part_005_of_005.md,5,5,410599,Report 1317,Report 1609,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/john_wippel_allan_b_wolter_medieval_philosophy_from_st_augustine_to_nicholas_of_cusa_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/john_wippel_allan_b_wolter_medieval_philosophy_from_st_augustine_to_nicholas_of_cusa_review/john_wippel_allan_b_wolter_medieval_philosophy_from_st_augustine_to_nicholas_of_cusa_review_part_001_of_002.md,1,2,445653,Report 1,Report 337,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/john_wippel_allan_b_wolter_medieval_philosophy_from_st_augustine_to_nicholas_of_cusa_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/john_wippel_allan_b_wolter_medieval_philosophy_from_st_augustine_to_nicholas_of_cusa_review/john_wippel_allan_b_wolter_medieval_philosophy_from_st_augustine_to_nicholas_of_cusa_review_part_002_of_002.md,2,2,428027,Report 338,Report 646,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/mystical_dimensions_of_islam_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/mystical_dimensions_of_islam_review/mystical_dimensions_of_islam_review_part_001_of_002.md,1,2,445211,Report 1,Report 355,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/mystical_dimensions_of_islam_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/mystical_dimensions_of_islam_review/mystical_dimensions_of_islam_review_part_002_of_002.md,2,2,181899,Report 356,Report 499,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/myths_of_babylonia_and_assyria_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/myths_of_babylonia_and_assyria_review/myths_of_babylonia_and_assyria_review_part_001_of_002.md,1,2,445629,Report 1,Report 320,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/myths_of_babylonia_and_assyria_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/myths_of_babylonia_and_assyria_review/myths_of_babylonia_and_assyria_review_part_002_of_002.md,2,2,127652,Report 321,Report 415,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/pagan_christs_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/pagan_christs_review/pagan_christs_review_part_001_of_002.md,1,2,444419,Report 1,Report 310,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/pagan_christs_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/pagan_christs_review/pagan_christs_review_part_002_of_002.md,2,2,284437,Report 311,Report 539,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/pistis_sophia_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/pistis_sophia_review/pistis_sophia_review_part_001_of_002.md,1,2,445367,Report 1,Report 372,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/pistis_sophia_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/pistis_sophia_review/pistis_sophia_review_part_002_of_002.md,2,2,149022,Report 373,Report 485,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/plato_complete_works_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/plato_complete_works_review/plato_complete_works_review_part_001_of_009.md,1,9,445597,Report 1,Report 313,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/plato_complete_works_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/plato_complete_works_review/plato_complete_works_review_part_002_of_009.md,2,9,444648,Report 314,Report 621,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/plato_complete_works_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/plato_complete_works_review/plato_complete_works_review_part_003_of_009.md,3,9,445039,Report 622,Report 948,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/plato_complete_works_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/plato_complete_works_review/plato_complete_works_review_part_004_of_009.md,4,9,444727,Report 949,Report 1264,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/plato_complete_works_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/plato_complete_works_review/plato_complete_works_review_part_005_of_009.md,5,9,444964,Report 1265,Report 1574,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/plato_complete_works_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/plato_complete_works_review/plato_complete_works_review_part_006_of_009.md,6,9,445458,Report 1575,Report 1915,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/plato_complete_works_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/plato_complete_works_review/plato_complete_works_review_part_007_of_009.md,7,9,444926,Report 1916,Report 2249,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/plato_complete_works_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/plato_complete_works_review/plato_complete_works_review_part_008_of_009.md,8,9,445103,Report 2250,Report 2564,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/plato_complete_works_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/plato_complete_works_review/plato_complete_works_review_part_009_of_009.md,9,9,297929,Report 2565,Report 2763,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/religion_of_the_ancient_celts_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/religion_of_the_ancient_celts_review/religion_of_the_ancient_celts_review_part_001_of_002.md,1,2,445086,Report 1,Report 311,report-boundary
